north korea, 312
china, 253
russia, 175
india, 168
london, 165
us, 161
queensland, 138
new zealand, 100
syria, 99
america, 85
indonesia, 83
japan, 75
newcastle, 73
sa, 70
paris, 68
israel, 60
myanmar, 60
las vegas, 55
mexico, 53
south korea, 48
california, 46
jerusalem, 43
france, 41
hobart, 40
richmond, 40
jakarta, 39
pakistan, 39
yemen, 38
new york, 37
afghanistan, 37
iran, 36
saudi arabia, 35
malaysia, 34
florida, 34
iraq, 34
hong kong, 33
washington, 32
spain, 30
texas, 30
brazil, 29
germany, 28
egypt, 28
italy, 27
canada, 27
uk, 25
kenya, 24
north queensland, 23
venezuela, 23
singapore, 21
cambodia, 21
