Name,Count
trump,1089
police,1082
new,992
man,862
us,812
world,626
donald,569
nsw,539
death,531
court,528
government,495
china,457
fire,449
murder,441
election,441
cup,435
found,430
first,426
royal,425
woman,398
crash,397
sa,396
nt,367
health,352
home,352
women,349
school,345
dead,338
charged,336
house,331
car,329
people,326
family,326
attack,324
calls,320
life,315
street,303
commission,301
big,297
dies,292
live,289
indigenous,284
labor,281
markets,281
hospital,271
child,271
war,267
accused,261
drum,260
hit,259
sex,214
