Name,Count
coronavirus,5599
police,1148
cases,913
restrictions,858
government,731
man,721
border,661
election,646
health,560
trump,510
death,502
bushfire,485
covid,448
court,444
quarantine,436
fire,432
home,389
covid19,359
case,358
state,345
people,343
murder,342
woman,329
crash,323
care,322
school,310
trial,303
family,296
travel,283
premier,276
workers,275
vaccine,263
hotel,261
coast,259
community,250
life,249
deaths,249
hospital,243
season,242
drum,235
update,233
child,227
farmers,227
car,226
time,226
lockdown,221
women,220
rain,218
budget,216
record,215
business,213
testing,211
students,210
