Name,Count
taliban,49
senate,39
un,30
nasa,22
congress,17
white house,17
crown,17
supreme court,15
fbi,14
google,12
brett sutton,10
cctv,8
kremlin,7
nicolle,7
hamas,6
maxwell,5
microsoft,5
parliament house,5
lincoln,5
oxford,4
northam,4
ppe,4
capitol,4
capitol hill,4
gm,4
bbc,4
ccp,4
cfa,3
pentagon,3
sidney nolan,3
australia post,3
european union,3
gold coast council,3
crown perth,3
meteor,3
boeing,3
fifa,3
gop,3
mcg,3
meghan markle,3
myanmar security,3
ivf,3
us house,2
coronavirus queensland,2
ocean rescue,2
justin,2
catholic church,2
epa,2
margaret court australia,2
el chapo,2
